Source,Target,Weight
0,0,1.0
0,2,0.550530050448938
0,7,0.6260857730024167
0,14,0.32451346084942123
0,15,0.12695825802043337
0,19,0.41351874901771923
0,21,0.3239365655370253
0,24,0.13559889053167118
0,28,0.4450266121254316
0,30,0.5556642660763036
0,38,0.058617390972990346
0,39,0.26808264866341447
0,52,0.023821669499412557
0,57,0.14631156566991854
0,62,0.4545857544366845
0,67,0.08803653440070103
0,78,0.2117357549218185
0,88,0.1968875563650232
1,1,1.0
1,5,0.3009905919314122
1,8,0.04756806427588134
1,9,0.25266265750280503
1,12,0.17788270675559703
1,15,0.22088975883308137
1,16,0.1625346083698852
1,21,0.08607368157561135
1,23,0.09301134416753476
1,25,0.18621141573704558
1,27,0.18440254985822135
1,29,0.2675101530356794
1,32,0.08520153635767436
1,33,0.1535862193751294
1,39,0.005350666374870916
1,41,0.10025335816820491
1,42,0.10748414973917564
1,49,0.01854400846888682
1,50,0.2492492556787409
1,51,0.12100923195817481
1,52,0.2268660080338163
1,53,0.22110128267213192
1,57,0.07502508180466738
1,60,0.06950883243786754
1,61,0.06366104074903811
1,66,0.2126647642889864
1,67,0.0030021570636927786
1,68,0.008522073100370786
1,71,0.014198145239439408
1,74,0.2565971500682732
1,75,0.024024541163786495
1,76,0.1355404964404494
1,79,0.02266329113827148
1,80,0.23499391003463233
1,81,0.017297215753521833
1,82,0.2606373195849653
1,85,0.10616899441114047
1,86,0.2999693240416704
1,87,0.0650859263168111
1,88,0.15238670544785826
1,89,0.31166220184240556
1,91,0.34542422255590344
1,92,0.28349117747178676
1,93,0.26166094229655323
1,95,0.06141045888561736
1,96,0.09701854232031593
1,97,0.05372207423697617
1,98,0.010045145401850752
1,99,0.04760927806210491
2,0,0.550530050448938
2,2,1.0
2,6,0.16553038901449235
2,7,0.5702148438556889
2,10,0.10664530118071991
2,11,0.20200491909496554
2,13,0.04778850765542919
2,14,0.18314762461058376
2,17,0.04261439250935073
2,19,0.2713065183310094
2,21,0.3729462267064467
2,22,0.14610884161467752
2,24,0.28425292675833
2,28,0.43265476267450054
2,30,0.3641744910891135
2,31,0.1149615034463064
2,34,0.029773990893204427
2,35,0.06512346693303428
2,36,0.2267818646564118
2,37,0.08910822081071734
2,38,0.2339410421574083
2,39,0.13359714524922017
2,40,0.09204410087747328
2,43,0.09377542590143895
2,44,0.1927182291716779
2,46,0.15312230813096783
2,47,0.11915367774240415
2,48,0.1589643912793539
2,52,0.060473415825252785
2,54,0.051571920017786876
2,56,0.18155701646610134
2,57,0.13971045498111778
2,58,0.09137775301299711
2,61,0.051125157463212556
2,62,0.31381493094589086
2,63,0.16647997828457972
2,64,0.10995593096432699
2,67,0.07949907264719058
2,68,0.025021939659421677
2,70,0.20149178492368458
2,72,0.18635615184833443
2,73,0.14972724103253965
2,77,0.06512832393623236
2,78,0.32556611917389633
2,83,0.07479597795341397
2,88,0.059108574233573075
2,94,0.16133887738134312
2,97,0.02356492628051876
2,99,0.044075494240895186
3,3,1.0
3,4,0.11290680679269016
3,8,0.09136831395174116
3,12,0.008534740006066577
3,18,0.16308501718258916
3,20,0.04318255128296389
3,24,0.002195112769402763
3,27,0.011203191700191018
3,28,0.06702759095125255
3,33,0.01535888153654541
3,39,0.060128187465149585
3,40,0.09969874332931383
3,55,0.3662916854311029
3,60,0.008362621347955401
3,61,0.08114478169595907
3,65,0.4300934311584632
3,66,0.02433644193975304
3,71,0.29453243257333517
3,79,0.21403736394737638
3,80,0.03924028187535433
3,82,0.010932089351865293
3,85,0.004029969584224857
3,87,0.07467231901586913
3,95,0.021257215027905896
3,96,0.06213904548483351
3,98,0.36170793550880553
3,99,0.0222202442958771
4,3,0.11290680679269016
4,4,1.0
4,12,0.4560544836626754
4,14,0.2759842709867254
4,18,0.6069405895881083
4,19,0.1721979248738913
4,20,0.11532796046584548
4,21,0.04949097438860106
4,33,0.07039812894230091
4,38,0.01235835404507335
4,53,0.03937828226385032
4,57,0.006631097372010619
4,60,0.37798863968600505
4,61,0.012102805500352587
4,75,0.05948741977810479
4,87,0.06666264508110886
4,90,0.049810004074122394
4,93,0.17745523596430957
4,95,0.025589519707472475
4,96,0.08951217852196203
4,99,0.028278796522734906
5,1,0.3009905919314122
5,5,1.0
5,9,0.8279567668412579
5,15,0.8028093799352316
5,16,0.4362725726026374
5,23,0.32480535433055646
5,25,0.6352355564092189
5,27,0.33328359875917113
5,29,0.6528120634657115
5,32,0.517889457217322
5,39,0.21795483563448992
5,41,0.36617731218635297
5,42,0.3919489455627714
5,50,0.6064728855623222
5,51,0.5542363767123156
5,52,0.6036213503694707
5,53,0.11549642466639387
5,55,0.1060215855183263
5,65,0.16571461287230282
5,66,0.6689273253253097
5,71,0.07272659624772848
5,74,0.904509742592065
5,76,0.5706884375129221
5,79,0.06813953515544413
5,80,0.5744924587692531
5,82,0.8671998630691433
5,85,0.04879262142953744
5,86,0.9051940417706388
5,87,0.12711102467778812
5,88,0.5740257816810738
5,89,0.8958647018327127
5,91,0.8501028295837708
5,92,0.8395778884953047
5,95,0.06392213743176822
5,96,0.057527761881858375
5,98,0.13105940610018707
6,2,0.16553038901449235
6,6,1.0
6,10,0.6640265232397611
6,11,0.6548965200574904
6,13,0.8209030662717957
6,16,0.0413095041393482
6,17,0.6671895529025693
6,22,0.6595088925988444
6,24,0.2543398033146377
6,26,0.7772021886028222
6,31,0.5845523532113366
6,32,0.15867267237147398
6,34,0.5638232201412247
6,35,0.6578368285226616
6,36,0.6842909204851211
6,37,0.8112565551668558
6,40,0.14190879212188445
6,41,0.25267623061324174
6,42,0.14748542106172824
6,43,0.7324095413342894
6,44,0.7449789073027295
6,45,0.19220016418917396
6,46,0.5553725747354622
6,47,0.48877202502279293
6,48,0.7286835898937207
6,49,0.16475725252286932
6,51,0.04457864797633915
6,54,0.3837053733667293
6,56,0.61649824374744
6,58,0.4152520704272489
6,59,0.5145893382197463
6,62,0.17602881891468936
6,63,0.7430379364508355
6,64,0.7569383626764179
6,68,0.15706165438267683
6,69,0.4570574729911776
6,70,0.7128793186279858
6,72,0.5681519678526813
6,73,0.5907253364505092
6,76,0.04400684239535235
6,77,0.20032227555358273
6,78,0.14288569501986892
6,81,0.27410020980599614
6,83,0.5924223854946753
6,84,0.42428528155444234
6,90,0.22631778357756283
6,94,0.7630393962496883
7,0,0.6260857730024167
7,2,0.5702148438556889
7,7,1.0
7,14,0.3351236078407822
7,19,0.4602149971822682
7,21,0.32802123114078685
7,24,0.14427115695325843
7,28,0.32111462498624244
7,30,0.4140682691136012
7,36,0.0025768777911923113
7,38,0.317735043445758
7,39,0.13104594837929562
7,57,0.2508340082721713
7,61,0.06554287268672787
7,62,0.2972918411962826
7,67,0.37230247870284205
7,78,0.34157079749765284
7,88,0.03129664009905597
8,1,0.04756806427588134
8,3,0.09136831395174116
8,8,1.0
8,10,0.14099834905673614
8,11,0.004395170202512122
8,15,0.015070737626603936
8,16,0.010288382526599693
8,17,0.11963077404726563
8,20,0.02967650916147857
8,24,0.10212980205678479
